"species";"date";"KN10kmDK";"max_count"
"Barnacle Goose";"2017-05-03";"10km_611_47";1e+05
"Barnacle Goose";"2016-04-02";"10km_611_47";70000
"Barnacle Goose";"2017-11-20";"10km_610_47";60000
"Barnacle Goose";"2016-04-02";"10km_610_47";50000
"Barnacle Goose";"2017-05-09";"10km_610_47";50000
"Barnacle Goose";"2017-04-29";"10km_608_47";50000
"Barnacle Goose";"2016-04-12";"10km_608_47";50000
"Barnacle Goose";"2020-10-21";"10km_610_47";47000
"Barnacle Goose";"2017-05-04";"10km_608_47";47000
"Barnacle Goose";"2017-04-11";"10km_610_47";45000
"Barnacle Goose";"2016-04-02";"10km_608_47";45000
"Barnacle Goose";"2016-04-11";"10km_611_47";45000
"Barnacle Goose";"2017-04-28";"10km_608_47";42000
"Barnacle Goose";"2016-10-30";"10km_610_47";40000
"Barnacle Goose";"2017-04-22";"10km_610_47";40000
"Barnacle Goose";"2016-04-30";"10km_608_47";40000
"Barnacle Goose";"2017-05-06";"10km_608_47";40000
"Barnacle Goose";"2018-05-12";"10km_608_48";40000
"Barnacle Goose";"2017-04-25";"10km_608_47";38000
"Barnacle Goose";"2017-05-07";"10km_608_47";38000
"Barnacle Goose";"2017-05-05";"10km_608_47";37000
"Barnacle Goose";"2016-05-12";"10km_610_47";36000
"Barnacle Goose";"2017-04-17";"10km_608_47";36000
"Barnacle Goose";"2016-10-24";"10km_610_47";35000
"Barnacle Goose";"2017-12-18";"10km_610_47";35000
"Barnacle Goose";"2017-04-24";"10km_608_47";35000
"Barnacle Goose";"2017-04-27";"10km_608_47";35000
"Barnacle Goose";"2017-12-01";"10km_608_48";35000
"Barnacle Goose";"2017-05-06";"10km_608_48";35000
"Barnacle Goose";"2017-11-19";"10km_611_47";35000
"Barnacle Goose";"2021-04-26";"10km_614_47";35000
"Barnacle Goose";"2019-04-19";"10km_610_47";33500
"Barnacle Goose";"2017-05-01";"10km_610_47";33000
"Barnacle Goose";"2018-04-27";"10km_608_47";33000
"Barnacle Goose";"2017-01-20";"10km_608_47";33000
"Barnacle Goose";"2016-10-06";"10km_611_69";32000
"Barnacle Goose";"2017-05-03";"10km_608_47";32000
"Barnacle Goose";"2016-03-24";"10km_608_47";32000
"Barnacle Goose";"2021-04-19";"10km_608_47";32000
"Barnacle Goose";"2019-03-20";"10km_608_48";32000
"Barnacle Goose";"2017-04-30";"10km_610_47";31000
"Barnacle Goose";"2018-04-21";"10km_608_47";31000
"Barnacle Goose";"2017-03-22";"10km_608_47";31000
"Barnacle Goose";"2019-05-13";"10km_608_48";31000
"Barnacle Goose";"2018-02-07";"10km_610_48";30000
"Barnacle Goose";"2017-11-06";"10km_610_48";30000
"Barnacle Goose";"2017-01-22";"10km_610_47";30000
"Barnacle Goose";"2016-05-01";"10km_610_47";30000
"Barnacle Goose";"2021-01-14";"10km_610_47";30000
"Barnacle Goose";"2019-04-04";"10km_610_47";30000
"Barnacle Goose";"2021-04-21";"10km_610_47";30000
"Barnacle Goose";"2016-03-19";"10km_608_47";30000
"Barnacle Goose";"2019-04-04";"10km_608_47";30000
"Barnacle Goose";"2016-12-28";"10km_608_47";30000
"Barnacle Goose";"2016-11-13";"10km_608_47";30000
"Barnacle Goose";"2020-04-16";"10km_608_47";30000
"Barnacle Goose";"2016-03-29";"10km_608_47";30000
"Barnacle Goose";"2017-03-28";"10km_608_47";30000
"Barnacle Goose";"2018-11-01";"10km_608_47";30000
"Barnacle Goose";"2019-04-08";"10km_608_47";30000
"Barnacle Goose";"2018-05-04";"10km_608_47";30000
"Barnacle Goose";"2018-05-06";"10km_608_47";30000
"Barnacle Goose";"2019-03-30";"10km_608_47";30000
"Barnacle Goose";"2018-05-14";"10km_608_47";30000
"Barnacle Goose";"2019-04-14";"10km_608_47";30000
"Barnacle Goose";"2019-05-19";"10km_608_48";30000
"Barnacle Goose";"2017-05-02";"10km_608_48";30000
"Barnacle Goose";"2020-04-16";"10km_608_48";30000
"Barnacle Goose";"2017-10-14";"10km_609_47";30000
"Barnacle Goose";"2016-11-19";"10km_611_47";30000
"Barnacle Goose";"2019-04-22";"10km_611_47";30000
"Barnacle Goose";"2021-04-24";"10km_611_48";30000
"Barnacle Goose";"2018-05-07";"10km_619_45";30000
"Barnacle Goose";"2018-05-07";"10km_632_50";30000
"Barnacle Goose";"2017-05-03";"10km_610_48";29000
"Barnacle Goose";"2020-03-22";"10km_608_48";28000
"Barnacle Goose";"2021-11-14";"10km_619_45";28000
"Barnacle Goose";"2017-02-22";"10km_608_47";27000
"Barnacle Goose";"2019-03-23";"10km_608_47";27000
"Barnacle Goose";"2020-04-19";"10km_608_47";27000
"Barnacle Goose";"2020-04-28";"10km_608_47";27000
"Barnacle Goose";"2017-04-23";"10km_608_47";27000
"Barnacle Goose";"2019-03-22";"10km_608_47";27000
"Barnacle Goose";"2017-03-11";"10km_608_47";26000
"Barnacle Goose";"2020-04-20";"10km_608_47";26000
"Barnacle Goose";"2018-04-22";"10km_608_47";26000
"Barnacle Goose";"2016-04-15";"10km_608_47";26000
"Barnacle Goose";"2017-04-18";"10km_608_47";26000
"Barnacle Goose";"2019-05-08";"10km_610_47";25500
"Barnacle Goose";"2017-11-30";"10km_604_68";25000
"Barnacle Goose";"2019-05-07";"10km_610_48";25000
"Barnacle Goose";"2018-11-03";"10km_610_48";25000
"Barnacle Goose";"2016-04-11";"10km_610_48";25000
"Barnacle Goose";"2017-11-17";"10km_610_47";25000
"Barnacle Goose";"2021-03-27";"10km_610_47";25000
"Barnacle Goose";"2021-11-14";"10km_610_47";25000
"Barnacle Goose";"2021-04-20";"10km_610_47";25000
"Barnacle Goose";"2018-04-25";"10km_610_47";25000
"Barnacle Goose";"2016-05-09";"10km_608_47";25000
"Barnacle Goose";"2016-04-16";"10km_608_47";25000
"Barnacle Goose";"2017-04-02";"10km_608_47";25000
"Barnacle Goose";"2016-05-02";"10km_608_47";25000
"Barnacle Goose";"2017-04-08";"10km_608_47";25000
"Barnacle Goose";"2016-04-17";"10km_608_47";25000
"Barnacle Goose";"2016-03-26";"10km_608_47";25000
"Barnacle Goose";"2018-05-18";"10km_608_47";25000
"Barnacle Goose";"2019-04-06";"10km_608_47";25000
"Barnacle Goose";"2017-11-21";"10km_608_47";25000
"Barnacle Goose";"2018-04-01";"10km_608_48";25000
"Barnacle Goose";"2016-04-12";"10km_608_48";25000
"Barnacle Goose";"2021-04-16";"10km_608_48";25000
"Barnacle Goose";"2021-04-13";"10km_608_48";25000
"Barnacle Goose";"2016-04-24";"10km_611_47";25000
"Barnacle Goose";"2016-09-29";"10km_611_47";25000
"Barnacle Goose";"2016-10-09";"10km_613_48";25000
"Barnacle Goose";"2020-10-28";"10km_619_45";25000
"Barnacle Goose";"2016-05-12";"10km_608_47";24000
"Barnacle Goose";"2019-04-27";"10km_608_47";24000
"Barnacle Goose";"2018-03-28";"10km_608_48";24000
"Barnacle Goose";"2020-03-21";"10km_608_48";24000
"Barnacle Goose";"2019-04-22";"10km_610_47";23780
"Barnacle Goose";"2019-12-30";"10km_610_47";23500
"Barnacle Goose";"2020-04-22";"10km_610_47";23000
"Barnacle Goose";"2020-04-27";"10km_608_47";23000
"Barnacle Goose";"2018-04-29";"10km_608_47";23000
"Barnacle Goose";"2018-04-17";"10km_608_47";23000
"Barnacle Goose";"2021-04-22";"10km_608_48";23000
"Barnacle Goose";"2016-04-02";"10km_611_48";23000
"Barnacle Goose";"2018-11-16";"10km_619_45";23000
"Barnacle Goose";"2019-05-14";"10km_608_47";23000
"Barnacle Goose";"2017-11-29";"10km_604_68";22500
"Barnacle Goose";"2016-03-18";"10km_617_73";22000
"Barnacle Goose";"2020-04-18";"10km_610_48";22000
"Barnacle Goose";"2016-10-04";"10km_610_47";22000
"Barnacle Goose";"2018-04-19";"10km_610_47";22000
"Barnacle Goose";"2019-02-28";"10km_608_47";22000
"Barnacle Goose";"2017-03-17";"10km_608_47";22000
"Barnacle Goose";"2017-04-01";"10km_608_47";22000
"Barnacle Goose";"2020-02-12";"10km_608_48";22000
"Barnacle Goose";"2020-04-14";"10km_608_48";22000
"Barnacle Goose";"2019-04-17";"10km_608_48";22000
"Barnacle Goose";"2019-05-07";"10km_608_48";22000
"Barnacle Goose";"2019-03-25";"10km_608_48";22000
"Barnacle Goose";"2016-04-09";"10km_611_47";22000
"Barnacle Goose";"2016-10-07";"10km_613_47";22000
"Barnacle Goose";"2017-05-02";"10km_608_47";21000
"Barnacle Goose";"2018-04-23";"10km_608_47";21000
"Barnacle Goose";"2019-04-25";"10km_608_47";21000
"Barnacle Goose";"2019-04-25";"10km_610_47";20035
"Barnacle Goose";"2016-04-10";"10km_617_73";20000
"Barnacle Goose";"2016-10-07";"10km_611_69";20000
"Barnacle Goose";"2020-10-18";"10km_611_69";20000
"Barnacle Goose";"2019-12-31";"10km_610_48";20000
"Barnacle Goose";"2019-01-26";"10km_610_48";20000
"Barnacle Goose";"2017-11-18";"10km_610_48";20000
"Barnacle Goose";"2017-12-17";"10km_610_47";20000
"Barnacle Goose";"2018-04-14";"10km_610_47";20000
"Barnacle Goose";"2017-04-18";"10km_610_47";20000
"Barnacle Goose";"2018-11-14";"10km_610_47";20000
"Barnacle Goose";"2017-10-28";"10km_610_47";20000
"Barnacle Goose";"2018-05-06";"10km_610_47";20000
"Barnacle Goose";"2016-04-04";"10km_610_47";20000
"Barnacle Goose";"2019-04-11";"10km_610_47";20000
"Barnacle Goose";"2020-05-08";"10km_610_47";20000
"Barnacle Goose";"2020-01-01";"10km_610_47";20000
"Barnacle Goose";"2020-01-28";"10km_610_47";20000
"Barnacle Goose";"2017-03-24";"10km_610_47";20000
"Barnacle Goose";"2016-05-08";"10km_610_47";20000
"Barnacle Goose";"2016-04-03";"10km_610_47";20000
"Barnacle Goose";"2017-04-03";"10km_610_47";20000
"Barnacle Goose";"2019-12-01";"10km_610_47";20000
"Barnacle Goose";"2020-11-15";"10km_610_47";20000
"Barnacle Goose";"2018-04-17";"10km_610_47";20000
"Barnacle Goose";"2016-10-29";"10km_608_47";20000
"Barnacle Goose";"2016-01-01";"10km_608_47";20000
"Barnacle Goose";"2020-03-27";"10km_608_47";20000
"Barnacle Goose";"2018-04-16";"10km_608_47";20000
"Barnacle Goose";"2019-05-15";"10km_608_47";20000
"Barnacle Goose";"2021-10-23";"10km_608_47";20000
"Barnacle Goose";"2019-03-24";"10km_608_47";20000
"Barnacle Goose";"2021-04-23";"10km_608_47";20000
"Barnacle Goose";"2020-04-05";"10km_608_47";20000
"Barnacle Goose";"2020-05-05";"10km_608_47";20000
"Barnacle Goose";"2017-04-30";"10km_608_47";20000
"Barnacle Goose";"2017-10-30";"10km_608_47";20000
"Barnacle Goose";"2020-04-08";"10km_608_47";20000
"Barnacle Goose";"2020-04-04";"10km_608_47";20000
"Barnacle Goose";"2021-04-30";"10km_608_48";20000
"Barnacle Goose";"2018-12-22";"10km_608_48";20000
"Barnacle Goose";"2019-12-28";"10km_608_48";20000
"Barnacle Goose";"2020-01-11";"10km_608_48";20000
"Barnacle Goose";"2019-12-04";"10km_608_48";20000
"Barnacle Goose";"2017-04-08";"10km_608_48";20000
"Barnacle Goose";"2020-04-04";"10km_608_48";20000
"Barnacle Goose";"2017-05-10";"10km_608_48";20000
"Barnacle Goose";"2019-01-28";"10km_608_48";20000
"Barnacle Goose";"2020-03-20";"10km_608_48";20000
"Barnacle Goose";"2016-03-12";"10km_608_48";20000
"Barnacle Goose";"2021-04-17";"10km_608_48";20000
"Barnacle Goose";"2018-04-14";"10km_608_48";20000
"Barnacle Goose";"2016-04-23";"10km_608_48";20000
"Barnacle Goose";"2018-05-04";"10km_611_47";20000
"Barnacle Goose";"2016-10-31";"10km_611_48";20000
"Barnacle Goose";"2021-05-08";"10km_614_47";20000
"Barnacle Goose";"2016-10-24";"10km_612_47";20000
"Barnacle Goose";"2019-04-06";"10km_612_47";20000
"Barnacle Goose";"2020-04-19";"10km_612_47";20000
"Barnacle Goose";"2021-10-30";"10km_612_47";20000
"Barnacle Goose";"2018-05-08";"10km_619_45";20000
"Barnacle Goose";"2018-11-01";"10km_619_45";20000
"Barnacle Goose";"2019-05-08";"10km_619_45";20000
"Barnacle Goose";"2020-04-28";"10km_619_45";20000
"Barnacle Goose";"2020-04-23";"10km_619_45";20000
"Barnacle Goose";"2020-05-03";"10km_619_45";20000
"Barnacle Goose";"2019-10-27";"10km_619_45";20000
"Barnacle Goose";"2020-05-13";"10km_605_66";20000
"Barnacle Goose";"2021-03-31";"10km_608_47";20000
"Barnacle Goose";"2020-04-17";"10km_608_47";20000
"Barnacle Goose";"2018-12-05";"10km_616_64";19500
"Barnacle Goose";"2021-04-18";"10km_608_47";19300
"Barnacle Goose";"2019-10-07";"10km_610_47";19000
"Barnacle Goose";"2019-12-05";"10km_608_47";19000
"Barnacle Goose";"2018-04-28";"10km_608_47";19000
"Barnacle Goose";"2021-03-19";"10km_608_47";19000
"Barnacle Goose";"2017-05-01";"10km_608_47";19000
"Barnacle Goose";"2017-04-18";"10km_608_48";19000
"Barnacle Goose";"2017-04-23";"10km_608_48";19000
"Barnacle Goose";"2018-05-14";"10km_610_47";18700
"Barnacle Goose";"2019-05-14";"10km_610_47";18500
"Barnacle Goose";"2018-05-02";"10km_616_72";18000
"Barnacle Goose";"2019-02-10";"10km_617_68";18000
"Barnacle Goose";"2017-12-02";"10km_606_65";18000
"Barnacle Goose";"2020-03-19";"10km_610_47";18000
"Barnacle Goose";"2019-05-09";"10km_610_47";18000
"Barnacle Goose";"2020-04-01";"10km_610_47";18000
"Barnacle Goose";"2016-05-11";"10km_608_47";18000
"Barnacle Goose";"2019-04-16";"10km_608_47";18000
"Barnacle Goose";"2019-02-11";"10km_608_47";18000
"Barnacle Goose";"2016-03-28";"10km_608_47";18000
"Barnacle Goose";"2019-04-17";"10km_608_47";18000
"Barnacle Goose";"2018-04-19";"10km_608_47";18000
"Barnacle Goose";"2016-04-19";"10km_608_47";18000
"Barnacle Goose";"2020-03-25";"10km_608_47";18000
"Barnacle Goose";"2018-12-27";"10km_608_47";18000
