"","KN10kmDK","Artificial surfaces","Agricultural areas","Forest and semi natural areas","Wetlands","Water bodies","Nonclassified","corine_area"
"1","10km_605_65",0.0283060269240572,0.262084386657591,0.0108816300450803,0.01674381521403,0.140990218660084,0.540993922499158,1
"2","10km_605_66",0,0.117052720640969,0.0165581632535781,0.0126549683230337,0.28932357850528,0.56441056927714,1
"3","10km_605_67",0.00470950151654771,0.0195179761551881,0.00397893086460174,0,0.11733127493765,0.854462316526012,1
"4","10km_605_68",0.0133912587561393,0.23256797178124,0.00240009632590591,0.00430017258391475,0.170089142671223,0.577251357881578,1
"5","10km_605_69",0.0261221045593653,0.0981123267638554,0.0367048967199447,0,0.108577947725639,0.730482724231195,1
"6","10km_606_60",0.00679640219761758,0.0840995152379512,0.00589687837734466,0.00459756619250601,0.086894264204656,0.811715373789925,1
"7","10km_606_61",0,0.0656924527514363,0.000011109291250638,0,0.0693000896934979,0.864996348263815,1
"8","10km_606_63",0.0121957000877653,0.156426270921315,0.0410855142300944,0,0.108956059331617,0.681336455429209,1
"9","10km_606_64",0.0345466926298638,0.537080096386532,0.0397887065891734,0.00131647326438404,0.117228422000415,0.270039609129632,1
"10","10km_606_65",0.0486948335839348,0.937696325732458,0.0126241811982374,0.00096864580668494,0.0000160136786844307,0,1
"11","10km_606_66",0.00519271873704767,0.796093565048142,0.139582420084498,0.00410979361489198,0.0550215025154203,0,1
"12","10km_606_67",0.0266015592909129,0.857854661164369,0.0755330015308534,0.0107224479081954,0.0292883301056688,0,1
"13","10km_606_68",0.0451200842201055,0.525686620100158,0.0961165016700385,0.0437690656258607,0.260893339941879,0.0284143884419576,1
"14","10km_606_69",0.0905751058365436,0.140472696880641,0,0,0.112259897269207,0.656692300013608,1
"15","10km_607_51",0.000447155405538029,0.331054165831318,0.0862489944783637,0.00769388616280641,0,0.574555798121974,1
"16","10km_607_52",0.108363357304973,0.289300304065171,0.140615595998651,0.0108914522840883,0.0338683664556218,0.416960923891495,1
"17","10km_607_53",0.00518938377006921,0.0193091339953483,0.0108868637477642,0,0.0663906547050709,0.898223963781747,1
"18","10km_607_54",0.00339745048870763,0.126482064447327,0.00828788653441879,0,0.141862546891119,0.719970051638428,1
"19","10km_607_55",0.0038318914817253,0.00421125662649144,0,0,0.0379185633788689,0.954038288512914,1
"20","10km_607_56",0.00000068398303529729,0.037069708649909,0,0,0.0675781412343035,0.895351466132752,1
"21","10km_607_58",0,0.0829599541298151,0,0,0.0669914877299055,0.850048558140279,1
"22","10km_607_59",0.0193708050308495,0.190426280310354,0.00389774507811731,0,0.131969257383378,0.654335912197301,1
"23","10km_607_60",0.0290054911641074,0.344327667705114,0.00249811497227766,0.00769592597612334,0.209926107766496,0.406546692415882,1
"24","10km_607_61",0.0125731774110806,0.309685408636064,0.0258036116315236,0.0127939184015369,0.111281737556666,0.527862146363129,1
"25","10km_607_62",0.00744009503284973,0.11060408646186,0.0129945883948514,0.00259891767897027,0.278632198471315,0.587730113960153,1
"26","10km_607_63",0.0873588770362207,0.675593410148692,0.00630184185652389,0.00349876638767432,0.212952144758392,0.0142949598124979,1
"27","10km_607_64",0.0217713056497888,0.919580713585887,0.0586479807643238,0,0,0,1
"28","10km_607_65",0.027372241050757,0.729065861636325,0.23658991594413,0.000837526722625145,0.00613445464616283,0,1
"29","10km_607_66",0.0988993755953308,0.662446458776342,0.0905292151618148,0,0.144519161890354,0.00360578857615923,1
"30","10km_607_67",0.0250074146428299,0.732489501681734,0.178781338335906,0.0205486247287785,0.0431731206107519,0,1
"31","10km_607_68",0.143894036038176,0.598659004815526,0.18221339703678,0.000188649607123474,0.0750449125023945,0,1
"32","10km_607_69",0.0268388858915459,0.663173121302682,0.0891337404031065,0.0049006536031101,0.0827329054715342,0.133220693328021,1
"33","10km_607_70",0,0.00870100695158163,0.0235731404088845,0,0.0584203248701118,0.909305527769422,1
"34","10km_608_47",0,0.126102107898804,0,0.0690792781962759,0.0264792180514826,0.778339395853438,1
"35","10km_608_48",0.0119245273084313,0.648307763246089,0.00413602104106359,0.0136891221323809,0.00731083195881419,0.314631734313221,1
"36","10km_608_49",0.0807446974342504,0.632138672505427,0.00930764269370165,0.01239009351408,0.00447977679108818,0.260939117061452,1
"37","10km_608_50",0.0169864180179137,0.90142048110479,0.060655307782355,0.00607524532404865,0,0.0148625477708927,1
"38","10km_608_51",0.0310278334359809,0.838581241750855,0.0797147429856758,0.0506761818274881,0,0,1
"39","10km_608_52",0.026179454106046,0.7763218471247,0.184523127886156,0.00595029942128689,0.00702527146181153,0,1
