"species";"date";"KN10kmDK";"max_count"
"Mute Swan";"2016-07-10";"10km_605_66";10900
"Mute Swan";"2020-07-19";"10km_611_67";9000
"Mute Swan";"2017-07-26";"10km_610_70";7700
"Mute Swan";"2020-09-02";"10km_610_70";7000
"Mute Swan";"2020-08-09";"10km_610_70";7000
"Mute Swan";"2016-06-22";"10km_605_66";5600
"Mute Swan";"2017-07-17";"10km_605_66";5040
"Mute Swan";"2017-12-30";"10km_610_70";5000
"Mute Swan";"2019-01-03";"10km_610_70";5000
"Mute Swan";"2016-08-23";"10km_610_70";5000
"Mute Swan";"2020-01-11";"10km_610_70";5000
"Mute Swan";"2019-01-20";"10km_610_70";4650
"Mute Swan";"2019-07-22";"10km_610_70";4600
"Mute Swan";"2020-09-20";"10km_605_66";4550
"Mute Swan";"2021-08-20";"10km_610_70";4500
"Mute Swan";"2019-09-26";"10km_605_66";4500
"Mute Swan";"2017-06-19";"10km_605_66";4014
"Mute Swan";"2019-09-21";"10km_605_66";4000
"Mute Swan";"2018-08-08";"10km_608_60";4000
"Mute Swan";"2021-07-25";"10km_605_65";3962
"Mute Swan";"2020-01-17";"10km_610_70";3950
"Mute Swan";"2016-02-16";"10km_610_70";3850
"Mute Swan";"2018-08-03";"10km_608_60";3200
"Mute Swan";"2019-11-18";"10km_610_70";3080
"Mute Swan";"2019-12-06";"10km_610_70";3080
"Mute Swan";"2018-09-07";"10km_608_65";3027
"Mute Swan";"2021-01-16";"10km_607_63";3014
"Mute Swan";"2019-09-14";"10km_605_66";3000
"Mute Swan";"2019-08-31";"10km_605_66";3000
"Mute Swan";"2019-12-27";"10km_610_70";3000
"Mute Swan";"2018-06-07";"10km_605_66";2900
"Mute Swan";"2019-08-17";"10km_610_70";2850
"Mute Swan";"2018-07-09";"10km_605_66";2850
"Mute Swan";"2017-06-27";"10km_605_66";2800
"Mute Swan";"2020-07-27";"10km_605_66";2700
"Mute Swan";"2016-01-06";"10km_610_70";2700
"Mute Swan";"2018-12-15";"10km_611_69";2600
"Mute Swan";"2018-09-12";"10km_610_70";2600
"Mute Swan";"2018-06-07";"10km_609_64";2500
"Mute Swan";"2016-09-20";"10km_609_65";2415
"Mute Swan";"2016-08-22";"10km_605_66";2350
"Mute Swan";"2019-08-23";"10km_608_66";2350
"Mute Swan";"2018-07-25";"10km_617_73";2337
"Mute Swan";"2020-12-28";"10km_611_67";2330
"Mute Swan";"2020-10-11";"10km_607_63";2324
"Mute Swan";"2017-12-02";"10km_610_70";2300
"Mute Swan";"2017-01-02";"10km_611_67";2270
"Mute Swan";"2016-01-21";"10km_610_70";2200
"Mute Swan";"2020-08-29";"10km_605_66";2200
"Mute Swan";"2021-08-23";"10km_610_70";2200
"Mute Swan";"2017-07-06";"10km_610_70";2200
"Mute Swan";"2018-02-14";"10km_610_70";2140
"Mute Swan";"2019-09-03";"10km_607_60";2100
"Mute Swan";"2016-08-15";"10km_610_70";2100
"Mute Swan";"2021-02-02";"10km_611_67";2100
"Mute Swan";"2017-09-17";"10km_609_65";2060
"Mute Swan";"2021-09-03";"10km_605_66";2000
"Mute Swan";"2019-09-24";"10km_605_66";2000
"Mute Swan";"2019-09-08";"10km_605_66";2000
"Mute Swan";"2019-09-30";"10km_608_65";2000
"Mute Swan";"2017-08-20";"10km_610_70";2000
"Mute Swan";"2017-08-16";"10km_610_70";2000
"Mute Swan";"2016-08-12";"10km_610_70";2000
"Mute Swan";"2019-07-23";"10km_608_60";2000
"Mute Swan";"2020-09-23";"10km_605_66";2000
"Mute Swan";"2016-03-24";"10km_610_70";2000
"Mute Swan";"2016-08-04";"10km_610_70";2000
"Mute Swan";"2019-09-07";"10km_608_65";2000
"Mute Swan";"2020-08-08";"10km_608_66";2000
"Mute Swan";"2021-01-15";"10km_611_67";2000
"Mute Swan";"2018-10-09";"10km_607_63";1997
"Mute Swan";"2019-10-07";"10km_610_70";1900
"Mute Swan";"2017-05-29";"10km_605_66";1900
"Mute Swan";"2017-06-02";"10km_605_66";1900
"Mute Swan";"2020-10-11";"10km_609_65";1850
"Mute Swan";"2018-08-24";"10km_605_66";1850
"Mute Swan";"2020-05-27";"10km_605_66";1850
"Mute Swan";"2020-10-13";"10km_608_66";1830
"Mute Swan";"2021-09-10";"10km_608_67";1800
"Mute Swan";"2020-08-20";"10km_608_66";1800
"Mute Swan";"2019-08-02";"10km_610_67";1800
"Mute Swan";"2019-09-12";"10km_605_66";1700
"Mute Swan";"2020-07-11";"10km_611_67";1700
"Mute Swan";"2020-08-30";"10km_605_66";1674
"Mute Swan";"2016-06-04";"10km_605_66";1640
"Mute Swan";"2021-01-17";"10km_610_70";1640
"Mute Swan";"2017-02-11";"10km_617_73";1600
"Mute Swan";"2021-01-17";"10km_611_69";1600
"Mute Swan";"2019-09-23";"10km_608_66";1600
"Mute Swan";"2016-09-03";"10km_610_67";1600
"Mute Swan";"2018-07-13";"10km_608_60";1600
"Mute Swan";"2020-05-19";"10km_605_66";1600
"Mute Swan";"2021-10-29";"10km_610_70";1600
"Mute Swan";"2020-08-27";"10km_610_70";1600
"Mute Swan";"2021-01-16";"10km_611_67";1600
"Mute Swan";"2021-02-14";"10km_611_67";1600
"Mute Swan";"2019-11-30";"10km_620_68";1600
"Mute Swan";"2021-12-16";"10km_607_63";1595
"Mute Swan";"2016-05-22";"10km_605_66";1570
"Mute Swan";"2016-08-30";"10km_605_66";1570
"Mute Swan";"2021-09-22";"10km_609_64";1552
"Mute Swan";"2021-09-10";"10km_608_66";1550
"Mute Swan";"2021-02-18";"10km_619_67";1500
"Mute Swan";"2021-02-14";"10km_619_67";1500
"Mute Swan";"2021-12-25";"10km_611_69";1500
"Mute Swan";"2020-12-25";"10km_611_67";1500
"Mute Swan";"2017-07-21";"10km_611_67";1500
"Mute Swan";"2019-09-22";"10km_610_70";1500
"Mute Swan";"2017-01-02";"10km_610_67";1500
"Mute Swan";"2021-01-16";"10km_610_67";1500
"Mute Swan";"2018-08-08";"10km_608_59";1500
"Mute Swan";"2017-05-22";"10km_605_66";1480
"Mute Swan";"2019-09-20";"10km_609_65";1464
"Mute Swan";"2018-07-18";"10km_611_65";1450
"Mute Swan";"2019-01-18";"10km_608_66";1450
"Mute Swan";"2016-10-16";"10km_609_65";1440
"Mute Swan";"2020-11-07";"10km_610_67";1410
"Mute Swan";"2017-07-19";"10km_611_65";1400
"Mute Swan";"2019-09-23";"10km_608_67";1400
"Mute Swan";"2021-10-06";"10km_610_70";1400
"Mute Swan";"2016-08-01";"10km_609_68";1400
"Mute Swan";"2017-07-20";"10km_607_63";1400
"Mute Swan";"2017-07-29";"10km_608_66";1400
"Mute Swan";"2016-08-17";"10km_610_67";1400
"Mute Swan";"2018-03-09";"10km_610_67";1400
"Mute Swan";"2021-01-03";"10km_614_59";1400
"Mute Swan";"2021-07-11";"10km_608_66";1400
"Mute Swan";"2021-12-20";"10km_610_67";1400
"Mute Swan";"2018-02-05";"10km_631_53";1380
"Mute Swan";"2021-09-26";"10km_607_63";1350
"Mute Swan";"2016-10-19";"10km_628_45";1325
"Mute Swan";"2020-11-14";"10km_611_69";1300
"Mute Swan";"2019-08-28";"10km_605_66";1300
"Mute Swan";"2018-09-07";"10km_604_68";1300
"Mute Swan";"2016-09-22";"10km_610_67";1300
"Mute Swan";"2016-06-24";"10km_608_60";1300
"Mute Swan";"2021-01-28";"10km_620_68";1300
"Mute Swan";"2021-10-21";"10km_628_45";1290
"Mute Swan";"2019-06-04";"10km_605_66";1250
"Mute Swan";"2017-10-15";"10km_628_45";1224
"Mute Swan";"2020-10-11";"10km_628_45";1210
"Mute Swan";"2020-11-22";"10km_611_69";1200
"Mute Swan";"2018-12-09";"10km_611_69";1200
"Mute Swan";"2016-12-02";"10km_611_67";1200
"Mute Swan";"2016-07-03";"10km_610_70";1200
"Mute Swan";"2016-08-15";"10km_607_63";1200
"Mute Swan";"2020-09-16";"10km_608_66";1200
"Mute Swan";"2016-10-08";"10km_610_67";1200
"Mute Swan";"2017-01-08";"10km_610_67";1200
"Mute Swan";"2017-08-01";"10km_610_67";1200
"Mute Swan";"2016-10-23";"10km_610_67";1200
"Mute Swan";"2017-02-14";"10km_610_67";1200
"Mute Swan";"2016-06-28";"10km_610_67";1200
"Mute Swan";"2016-08-21";"10km_610_67";1200
"Mute Swan";"2016-08-14";"10km_614_59";1200
"Mute Swan";"2016-07-08";"10km_631_48";1200
"Mute Swan";"2016-08-06";"10km_632_53";1200
"Mute Swan";"2017-09-17";"10km_605_67";1200
"Mute Swan";"2019-12-01";"10km_621_44";1200
"Mute Swan";"2018-06-23";"10km_605_66";1150
"Mute Swan";"2021-09-25";"10km_614_59";1150
"Mute Swan";"2017-09-17";"10km_614_59";1150
"Mute Swan";"2021-10-02";"10km_605_66";1150
"Mute Swan";"2020-12-21";"10km_628_45";1120
"Mute Swan";"2020-09-07";"10km_612_65";1100
"Mute Swan";"2019-01-06";"10km_611_69";1100
"Mute Swan";"2018-10-06";"10km_609_64";1100
"Mute Swan";"2021-09-22";"10km_608_66";1100
"Mute Swan";"2016-10-01";"10km_608_67";1100
"Mute Swan";"2019-09-12";"10km_608_67";1100
"Mute Swan";"2020-10-12";"10km_609_67";1100
"Mute Swan";"2018-08-29";"10km_609_67";1100
"Mute Swan";"2018-08-03";"10km_608_63";1100
"Mute Swan";"2017-09-03";"10km_607_63";1100
"Mute Swan";"2018-08-17";"10km_608_66";1100
"Mute Swan";"2017-01-04";"10km_610_67";1100
"Mute Swan";"2018-01-13";"10km_610_67";1100
"Mute Swan";"2016-12-21";"10km_610_67";1100
"Mute Swan";"2018-07-29";"10km_614_59";1100
"Mute Swan";"2018-08-28";"10km_614_59";1100
"Mute Swan";"2016-11-24";"10km_614_59";1100
"Mute Swan";"2021-06-19";"10km_608_59";1100
"Mute Swan";"2016-11-25";"10km_628_45";1100
"Mute Swan";"2020-05-30";"10km_605_66";1100
"Mute Swan";"2020-09-08";"10km_605_66";1100
"Mute Swan";"2019-01-12";"10km_610_67";1100
"Mute Swan";"2016-11-17";"10km_611_69";1090
"Mute Swan";"2018-06-17";"10km_617_73";1082
"Mute Swan";"2019-09-12";"10km_617_73";1080
"Mute Swan";"2017-09-16";"10km_608_67";1050
"Mute Swan";"2017-07-04";"10km_608_59";1050
"Mute Swan";"2020-07-22";"10km_620_45";1050
"Mute Swan";"2019-07-24";"10km_610_67";1040
"Mute Swan";"2017-07-24";"10km_610_67";1030
"Mute Swan";"2016-06-23";"10km_610_67";1020
"Mute Swan";"2020-12-22";"10km_627_51";1020
"Mute Swan";"2016-05-09";"10km_605_66";1020
"Mute Swan";"2018-07-31";"10km_607_63";1015
"Mute Swan";"2016-11-04";"10km_628_45";1015
"Mute Swan";"2020-12-01";"10km_627_58";1010
"Mute Swan";"2019-07-20";"10km_631_48";1005
"Mute Swan";"2019-12-08";"10km_620_68";1004
"Mute Swan";"2016-08-20";"10km_611_54";1004
"Mute Swan";"2018-06-27";"10km_616_73";1000
