"species";"date";"KN10kmDK";"max_count"
"Whooper Swan";"2018-03-29";"10km_634_54";4500
"Whooper Swan";"2018-01-19";"10km_619_46";4400
"Whooper Swan";"2020-02-18";"10km_634_55";3500
"Whooper Swan";"2020-02-10";"10km_634_54";3500
"Whooper Swan";"2018-03-16";"10km_629_57";3420
"Whooper Swan";"2019-11-06";"10km_633_57";3140
"Whooper Swan";"2018-03-07";"10km_629_57";3100
"Whooper Swan";"2018-03-31";"10km_633_54";3044
"Whooper Swan";"2019-01-09";"10km_632_53";3000
"Whooper Swan";"2020-02-10";"10km_634_55";3000
"Whooper Swan";"2018-04-02";"10km_634_54";3000
"Whooper Swan";"2020-02-12";"10km_634_54";3000
"Whooper Swan";"2020-02-01";"10km_634_54";3000
"Whooper Swan";"2018-04-04";"10km_633_54";2958
"Whooper Swan";"2018-03-22";"10km_629_57";2890
"Whooper Swan";"2018-02-05";"10km_631_53";2860
"Whooper Swan";"2020-01-12";"10km_630_57";2850
"Whooper Swan";"2019-11-02";"10km_634_54";2800
"Whooper Swan";"2020-02-11";"10km_634_55";2670
"Whooper Swan";"2017-02-26";"10km_632_53";2590
"Whooper Swan";"2016-02-27";"10km_626_54";2580
"Whooper Swan";"2019-02-27";"10km_632_53";2520
"Whooper Swan";"2018-03-13";"10km_619_46";2500
"Whooper Swan";"2018-01-02";"10km_630_57";2500
"Whooper Swan";"2018-01-01";"10km_630_57";2500
"Whooper Swan";"2020-01-27";"10km_629_54";2500
"Whooper Swan";"2016-02-11";"10km_634_54";2480
"Whooper Swan";"2020-02-19";"10km_634_55";2470
"Whooper Swan";"2019-02-17";"10km_633_54";2466
"Whooper Swan";"2018-02-02";"10km_633_54";2460
"Whooper Swan";"2018-03-14";"10km_628_57";2400
"Whooper Swan";"2018-01-11";"10km_634_54";2380
"Whooper Swan";"2019-12-09";"10km_619_45";2370
"Whooper Swan";"2019-02-20";"10km_633_57";2370
"Whooper Swan";"2018-02-01";"10km_633_54";2350
"Whooper Swan";"2016-12-14";"10km_632_54";2310
"Whooper Swan";"2020-02-09";"10km_634_55";2300
"Whooper Swan";"2017-12-30";"10km_630_57";2300
"Whooper Swan";"2020-02-05";"10km_630_57";2275
"Whooper Swan";"2017-02-15";"10km_631_53";2260
"Whooper Swan";"2018-01-22";"10km_634_54";2260
"Whooper Swan";"2019-02-18";"10km_632_53";2246
"Whooper Swan";"2019-02-16";"10km_633_54";2240
"Whooper Swan";"2020-01-24";"10km_634_54";2230
"Whooper Swan";"2018-12-28";"10km_632_53";2200
"Whooper Swan";"2018-12-24";"10km_632_53";2200
"Whooper Swan";"2017-03-10";"10km_633_54";2200
"Whooper Swan";"2018-02-22";"10km_631_54";2190
"Whooper Swan";"2019-01-05";"10km_632_53";2187
"Whooper Swan";"2016-02-16";"10km_632_53";2122
"Whooper Swan";"2018-01-25";"10km_633_54";2116
"Whooper Swan";"2019-02-15";"10km_632_53";2100
"Whooper Swan";"2018-01-06";"10km_630_57";2085
"Whooper Swan";"2016-12-06";"10km_632_54";2080
"Whooper Swan";"2016-02-13";"10km_632_53";2056
"Whooper Swan";"2019-12-19";"10km_630_57";2050
"Whooper Swan";"2018-02-23";"10km_617_48";2014
"Whooper Swan";"2018-01-02";"10km_613_48";2000
"Whooper Swan";"2019-03-02";"10km_626_57";2000
"Whooper Swan";"2016-02-24";"10km_626_53";2000
"Whooper Swan";"2020-02-12";"10km_634_55";2000
"Whooper Swan";"2020-01-26";"10km_634_54";2000
"Whooper Swan";"2019-11-10";"10km_629_57";2000
"Whooper Swan";"2017-02-13";"10km_631_53";2000
"Whooper Swan";"2018-01-04";"10km_630_57";2000
"Whooper Swan";"2018-01-26";"10km_634_54";2000
"Whooper Swan";"2018-03-10";"10km_631_54";2000
"Whooper Swan";"2019-11-12";"10km_631_46";1940
"Whooper Swan";"2016-02-29";"10km_624_52";1912
"Whooper Swan";"2017-01-22";"10km_620_50";1893
"Whooper Swan";"2018-01-30";"10km_626_58";1860
"Whooper Swan";"2018-12-27";"10km_632_53";1860
"Whooper Swan";"2018-12-09";"10km_630_53";1850
"Whooper Swan";"2019-12-30";"10km_631_46";1830
"Whooper Swan";"2019-01-10";"10km_626_57";1829
"Whooper Swan";"2020-01-12";"10km_631_57";1802
"Whooper Swan";"2020-02-15";"10km_634_55";1800
"Whooper Swan";"2020-01-23";"10km_634_55";1800
"Whooper Swan";"2020-12-24";"10km_628_57";1800
"Whooper Swan";"2016-01-18";"10km_631_53";1800
"Whooper Swan";"2020-01-19";"10km_630_57";1800
"Whooper Swan";"2018-01-18";"10km_634_54";1780
"Whooper Swan";"2016-02-25";"10km_633_54";1780
"Whooper Swan";"2019-11-15";"10km_628_57";1768
"Whooper Swan";"2018-02-19";"10km_625_58";1750
"Whooper Swan";"2017-01-29";"10km_632_54";1745
"Whooper Swan";"2017-02-10";"10km_631_53";1730
"Whooper Swan";"2016-12-27";"10km_619_45";1720
"Whooper Swan";"2017-02-06";"10km_619_45";1692
"Whooper Swan";"2020-11-13";"10km_619_46";1680
"Whooper Swan";"2018-01-07";"10km_633_54";1680
"Whooper Swan";"2016-02-28";"10km_632_53";1650
"Whooper Swan";"2019-11-17";"10km_631_57";1650
"Whooper Swan";"2018-01-05";"10km_634_54";1650
"Whooper Swan";"2018-04-10";"10km_633_54";1640
"Whooper Swan";"2019-02-15";"10km_633_54";1630
"Whooper Swan";"2017-02-23";"10km_633_54";1627
"Whooper Swan";"2018-03-12";"10km_622_50";1600
"Whooper Swan";"2019-12-04";"10km_626_48";1600
"Whooper Swan";"2018-01-29";"10km_626_58";1600
"Whooper Swan";"2016-12-14";"10km_632_48";1600
"Whooper Swan";"2021-11-29";"10km_624_51";1600
"Whooper Swan";"2018-01-23";"10km_626_53";1600
"Whooper Swan";"2020-02-02";"10km_634_55";1600
"Whooper Swan";"2018-01-04";"10km_633_57";1600
"Whooper Swan";"2018-02-06";"10km_631_53";1600
"Whooper Swan";"2018-03-02";"10km_631_53";1600
"Whooper Swan";"2017-02-23";"10km_632_53";1585
"Whooper Swan";"2017-02-05";"10km_632_53";1560
"Whooper Swan";"2016-02-12";"10km_632_54";1550
"Whooper Swan";"2017-12-23";"10km_630_57";1550
"Whooper Swan";"2016-12-29";"10km_633_54";1537
"Whooper Swan";"2018-11-25";"10km_632_54";1536
"Whooper Swan";"2016-02-06";"10km_626_54";1533
"Whooper Swan";"2018-11-16";"10km_628_45";1530
"Whooper Swan";"2018-03-17";"10km_631_54";1530
"Whooper Swan";"2018-12-15";"10km_632_54";1520
"Whooper Swan";"2018-03-24";"10km_619_46";1515
"Whooper Swan";"2019-01-24";"10km_626_57";1510
"Whooper Swan";"2018-02-20";"10km_625_58";1510
"Whooper Swan";"2017-03-04";"10km_632_53";1510
"Whooper Swan";"2017-12-16";"10km_619_46";1500
"Whooper Swan";"2018-01-08";"10km_633_58";1500
"Whooper Swan";"2016-02-26";"10km_638_56";1500
"Whooper Swan";"2016-01-07";"10km_631_53";1500
"Whooper Swan";"2019-11-26";"10km_631_56";1500
"Whooper Swan";"2019-03-14";"10km_634_54";1500
"Whooper Swan";"2016-02-24";"10km_633_54";1500
"Whooper Swan";"2017-02-15";"10km_631_54";1500
"Whooper Swan";"2018-02-20";"10km_631_54";1500
"Whooper Swan";"2016-02-03";"10km_624_58";1496
"Whooper Swan";"2021-12-06";"10km_619_51";1481
"Whooper Swan";"2017-03-05";"10km_632_53";1480
"Whooper Swan";"2019-01-07";"10km_626_57";1470
"Whooper Swan";"2020-01-30";"10km_634_55";1470
"Whooper Swan";"2019-11-13";"10km_631_56";1470
"Whooper Swan";"2018-01-12";"10km_629_57";1460
"Whooper Swan";"2016-12-21";"10km_627_57";1450
"Whooper Swan";"2017-01-28";"10km_625_58";1450
"Whooper Swan";"2016-02-22";"10km_626_54";1450
"Whooper Swan";"2018-02-02";"10km_634_54";1445
"Whooper Swan";"2021-01-28";"10km_620_50";1420
"Whooper Swan";"2016-02-10";"10km_627_58";1400
"Whooper Swan";"2019-01-06";"10km_626_57";1400
"Whooper Swan";"2016-12-31";"10km_609_49";1390
"Whooper Swan";"2020-01-09";"10km_632_53";1380
"Whooper Swan";"2020-02-05";"10km_634_55";1380
"Whooper Swan";"2016-03-04";"10km_633_54";1370
"Whooper Swan";"2018-12-09";"10km_628_57";1360
"Whooper Swan";"2017-03-09";"10km_633_57";1360
"Whooper Swan";"2020-01-14";"10km_619_45";1350
"Whooper Swan";"2016-01-16";"10km_627_57";1350
"Whooper Swan";"2017-01-26";"10km_625_58";1350
"Whooper Swan";"2018-02-12";"10km_633_57";1350
"Whooper Swan";"2018-01-04";"10km_634_54";1350
"Whooper Swan";"2016-11-23";"10km_627_44";1342
"Whooper Swan";"2016-11-25";"10km_628_45";1340
"Whooper Swan";"2020-02-08";"10km_628_57";1328
"Whooper Swan";"2019-01-16";"10km_606_67";1327
"Whooper Swan";"2018-02-23";"10km_626_52";1320
"Whooper Swan";"2021-01-16";"10km_626_51";1311
"Whooper Swan";"2019-12-01";"10km_631_46";1305
"Whooper Swan";"2016-01-08";"10km_619_46";1300
"Whooper Swan";"2020-01-25";"10km_628_57";1300
"Whooper Swan";"2016-03-13";"10km_634_54";1300
"Whooper Swan";"2018-03-30";"10km_625_53";1280
"Whooper Swan";"2021-11-29";"10km_612_50";1275
"Whooper Swan";"2018-02-06";"10km_620_50";1270
"Whooper Swan";"2021-02-25";"10km_634_54";1270
"Whooper Swan";"2016-03-03";"10km_633_54";1260
"Whooper Swan";"2018-04-09";"10km_633_54";1260
"Whooper Swan";"2019-01-18";"10km_606_67";1253
"Whooper Swan";"2018-01-14";"10km_626_52";1250
"Whooper Swan";"2019-11-23";"10km_626_48";1240
"Whooper Swan";"2020-01-16";"10km_634_54";1240
"Whooper Swan";"2020-01-30";"10km_634_54";1240
"Whooper Swan";"2020-02-12";"10km_628_57";1240
"Whooper Swan";"2019-11-07";"10km_629_57";1235
"Whooper Swan";"2018-01-04";"10km_633_54";1235
"Whooper Swan";"2016-03-07";"10km_627_57";1220
"Whooper Swan";"2021-02-14";"10km_626_52";1220
"Whooper Swan";"2017-02-10";"10km_632_54";1220
"Whooper Swan";"2016-03-04";"10km_634_54";1218
"Whooper Swan";"2018-11-30";"10km_627_57";1210
"Whooper Swan";"2018-01-25";"10km_634_54";1208
"Whooper Swan";"2018-12-27";"10km_615_63";1200
"Whooper Swan";"2021-12-06";"10km_615_63";1200
"Whooper Swan";"2021-02-14";"10km_608_49";1200
"Whooper Swan";"2021-01-30";"10km_619_52";1200
"Whooper Swan";"2017-01-15";"10km_620_51";1200
