x,y,ID,DKmapsf$KN10kmDK
5,105,1,10km_615_44
5,115,2,10km_616_44
5,125,3,10km_617_44
5,135,4,10km_618_44
5,145,5,10km_619_44
5,155,6,10km_620_44
5,165,7,10km_621_44
5,175,8,10km_622_44
5,185,9,10km_623_44
5,195,10,10km_624_44
5,205,11,10km_625_44
5,215,12,10km_626_44
5,225,13,10km_627_44
5,235,14,10km_628_44
15,95,15,10km_614_45
15,105,16,10km_615_45
15,115,17,10km_616_45
15,125,18,10km_617_45
15,135,19,10km_618_45
15,145,20,10km_619_45
15,155,21,10km_620_45
15,165,22,10km_621_45
15,175,23,10km_622_45
15,185,24,10km_623_45
15,195,25,10km_624_45
15,205,26,10km_625_45
15,215,27,10km_626_45
15,225,28,10km_627_45
15,235,29,10km_628_45
15,245,30,10km_629_45
15,255,31,10km_630_45
25,55,32,10km_610_46
25,65,33,10km_611_46
25,75,34,10km_612_46
25,85,35,10km_613_46
25,95,36,10km_614_46
25,105,37,10km_615_46
25,115,38,10km_616_46
25,125,39,10km_617_46
25,135,40,10km_618_46
25,145,41,10km_619_46
25,155,42,10km_620_46
25,165,43,10km_621_46
25,175,44,10km_622_46
25,185,45,10km_623_46
25,195,46,10km_624_46
25,205,47,10km_625_46
25,215,48,10km_626_46
25,225,49,10km_627_46
25,235,50,10km_628_46
25,245,51,10km_629_46
25,255,52,10km_630_46
25,265,53,10km_631_46
25,275,54,10km_632_46
35,35,55,10km_608_47
35,45,56,10km_609_47
35,55,57,10km_610_47
35,65,58,10km_611_47
35,75,59,10km_612_47
35,85,60,10km_613_47
35,95,61,10km_614_47
35,105,62,10km_615_47
35,115,63,10km_616_47
35,125,64,10km_617_47
35,135,65,10km_618_47
35,145,66,10km_619_47
35,155,67,10km_620_47
35,165,68,10km_621_47
35,175,69,10km_622_47
35,185,70,10km_623_47
35,195,71,10km_624_47
35,205,72,10km_625_47
35,215,73,10km_626_47
35,225,74,10km_627_47
35,235,75,10km_628_47
35,245,76,10km_629_47
35,255,77,10km_630_47
35,265,78,10km_631_47
35,275,79,10km_632_47
35,285,80,10km_633_47
45,35,81,10km_608_48
45,45,82,10km_609_48
45,55,83,10km_610_48
45,65,84,10km_611_48
45,75,85,10km_612_48
45,85,86,10km_613_48
45,95,87,10km_614_48
45,105,88,10km_615_48
45,115,89,10km_616_48
45,125,90,10km_617_48
45,135,91,10km_618_48
45,145,92,10km_619_48
45,155,93,10km_620_48
45,165,94,10km_621_48
45,175,95,10km_622_48
45,185,96,10km_623_48
45,195,97,10km_624_48
45,205,98,10km_625_48
45,215,99,10km_626_48
45,225,100,10km_627_48
45,235,101,10km_628_48
45,245,102,10km_629_48
45,255,103,10km_630_48
45,265,104,10km_631_48
45,275,105,10km_632_48
55,35,106,10km_608_49
55,45,107,10km_609_49
55,55,108,10km_610_49
55,65,109,10km_611_49
55,75,110,10km_612_49
55,85,111,10km_613_49
55,95,112,10km_614_49
55,105,113,10km_615_49
55,115,114,10km_616_49
55,125,115,10km_617_49
55,135,116,10km_618_49
55,145,117,10km_619_49
55,155,118,10km_620_49
55,165,119,10km_621_49
55,175,120,10km_622_49
55,185,121,10km_623_49
55,195,122,10km_624_49
55,205,123,10km_625_49
55,215,124,10km_626_49
55,225,125,10km_627_49
55,235,126,10km_628_49
55,245,127,10km_629_49
55,255,128,10km_630_49
55,265,129,10km_631_49
55,275,130,10km_632_49
55,285,131,10km_633_49
65,35,132,10km_608_50
65,45,133,10km_609_50
65,55,134,10km_610_50
65,65,135,10km_611_50
65,75,136,10km_612_50
65,85,137,10km_613_50
65,95,138,10km_614_50
65,105,139,10km_615_50
65,115,140,10km_616_50
65,125,141,10km_617_50
65,135,142,10km_618_50
65,145,143,10km_619_50
65,155,144,10km_620_50
65,165,145,10km_621_50
65,175,146,10km_622_50
65,185,147,10km_623_50
65,195,148,10km_624_50
65,205,149,10km_625_50
65,215,150,10km_626_50
65,225,151,10km_627_50
65,235,152,10km_628_50
65,245,153,10km_629_50
65,255,154,10km_630_50
65,265,155,10km_631_50
65,275,156,10km_632_50
65,285,157,10km_633_50
75,25,158,10km_607_51
75,35,159,10km_608_51
75,45,160,10km_609_51
75,55,161,10km_610_51
75,65,162,10km_611_51
75,75,163,10km_612_51
75,85,164,10km_613_51
75,95,165,10km_614_51
75,105,166,10km_615_51
75,115,167,10km_616_51
75,125,168,10km_617_51
75,135,169,10km_618_51
75,145,170,10km_619_51
75,155,171,10km_620_51
75,165,172,10km_621_51
75,175,173,10km_622_51
75,185,174,10km_623_51
75,195,175,10km_624_51
75,205,176,10km_625_51
75,215,177,10km_626_51
75,225,178,10km_627_51
75,235,179,10km_628_51
75,245,180,10km_629_51
75,255,181,10km_630_51
75,265,182,10km_631_51
75,275,183,10km_632_51
75,285,184,10km_633_51
85,25,185,10km_607_52
85,35,186,10km_608_52
85,45,187,10km_609_52
85,55,188,10km_610_52
85,65,189,10km_611_52
85,75,190,10km_612_52
85,85,191,10km_613_52
85,95,192,10km_614_52
85,105,193,10km_615_52
85,115,194,10km_616_52
85,125,195,10km_617_52
85,135,196,10km_618_52
85,145,197,10km_619_52
85,155,198,10km_620_52
85,165,199,10km_621_52
85,175,200,10km_622_52
85,185,201,10km_623_52
85,195,202,10km_624_52
85,205,203,10km_625_52
85,215,204,10km_626_52
85,225,205,10km_627_52
85,235,206,10km_628_52
85,245,207,10km_629_52
85,255,208,10km_630_52
85,265,209,10km_631_52
85,275,210,10km_632_52
85,285,211,10km_633_52
95,25,212,10km_607_53
95,35,213,10km_608_53
95,45,214,10km_609_53
95,55,215,10km_610_53
95,65,216,10km_611_53
95,75,217,10km_612_53
95,85,218,10km_613_53
95,95,219,10km_614_53
95,105,220,10km_615_53
95,115,221,10km_616_53
95,125,222,10km_617_53
95,135,223,10km_618_53
95,145,224,10km_619_53
95,155,225,10km_620_53
95,165,226,10km_621_53
95,175,227,10km_622_53
95,185,228,10km_623_53
95,195,229,10km_624_53
95,205,230,10km_625_53
95,215,231,10km_626_53
95,225,232,10km_627_53
95,235,233,10km_628_53
